"","X","X600435.SS.Open","X600435.SS.High","X600435.SS.Low","X600435.SS.Close","X600435.SS.Volume","X600435.SS.Adjusted","X600435.SS.Close.1","X600436.SS.Open","X600436.SS.High","X600436.SS.Low","X600436.SS.Close","X600436.SS.Volume","X600436.SS.Adjusted","X600436.SS.Close.1","X600438.SS.Open","X600438.SS.High","X600438.SS.Low","X600438.SS.Close","X600438.SS.Volume","X600438.SS.Adjusted","X600438.SS.Close.1","X600439.SS.Open","X600439.SS.High","X600439.SS.Low","X600439.SS.Close","X600439.SS.Volume","X600439.SS.Adjusted","X600439.SS.Close.1","X600444.SS.Open","X600444.SS.High","X600444.SS.Low","X600444.SS.Close","X600444.SS.Volume","X600444.SS.Adjusted","X600444.SS.Close.1","X600446.SS.Open","X600446.SS.High","X600446.SS.Low","X600446.SS.Close","X600446.SS.Volume","X600446.SS.Adjusted","X600446.SS.Close.1","X600448.SS.Open","X600448.SS.High","X600448.SS.Low","X600448.SS.Close","X600448.SS.Volume","X600448.SS.Adjusted","X600448.SS.Close.1","X600449.SS.Open","X600449.SS.High","X600449.SS.Low","X600449.SS.Close","X600449.SS.Volume","X600449.SS.Adjusted","X600449.SS.Close.1","X600452.SS.Open","X600452.SS.High","X600452.SS.Low","X600452.SS.Close","X600452.SS.Volume","X600452.SS.Adjusted","X600452.SS.Close.1","X600455.SS.Open","X600455.SS.High","X600455.SS.Low","X600455.SS.Close","X600455.SS.Volume","X600455.SS.Adjusted","X600455.SS.Close.1","X600456.SS.Open","X600456.SS.High","X600456.SS.Low","X600456.SS.Close","X600456.SS.Volume","X600456.SS.Adjusted","X600456.SS.Close.1","X600458.SS.Open","X600458.SS.High","X600458.SS.Low","X600458.SS.Close","X600458.SS.Volume","X600458.SS.Adjusted","X600458.SS.Close.1","X600459.SS.Open","X600459.SS.High","X600459.SS.Low","X600459.SS.Close","X600459.SS.Volume","X600459.SS.Adjusted","X600459.SS.Close.1","X600460.SS.Open","X600460.SS.High","X600460.SS.Low","X600460.SS.Close","X600460.SS.Volume","X600460.SS.Adjusted","X600460.SS.Close.1","X600461.SS.Open","X600461.SS.High","X600461.SS.Low","X600461.SS.Close","X600461.SS.Volume","X600461.SS.Adjusted","X600461.SS.Close.1","X600462.SS.Open","X600462.SS.High","X600462.SS.Low","X600462.SS.Close","X600462.SS.Volume","X600462.SS.Adjusted","X600462.SS.Close.1","X600463.SS.Open","X600463.SS.High","X600463.SS.Low","X600463.SS.Close","X600463.SS.Volume","X600463.SS.Adjusted","X600463.SS.Close.1","X600466.SS.Open","X600466.SS.High","X600466.SS.Low","X600466.SS.Close","X600466.SS.Volume","X600466.SS.Adjusted","X600466.SS.Close.1","X600467.SS.Open","X600467.SS.High","X600467.SS.Low","X600467.SS.Close","X600467.SS.Volume","X600467.SS.Adjusted","X600467.SS.Close.1","X600468.SS.Open","X600468.SS.High","X600468.SS.Low","X600468.SS.Close","X600468.SS.Volume","X600468.SS.Adjusted","X600468.SS.Close.1","X600469.SS.Open","X600469.SS.High","X600469.SS.Low","X600469.SS.Close","X600469.SS.Volume","X600469.SS.Adjusted","X600469.SS.Close.1","X600470.SS.Open","X600470.SS.High","X600470.SS.Low","X600470.SS.Close","X600470.SS.Volume","X600470.SS.Adjusted","X600470.SS.Close.1","X600475.SS.Open","X600475.SS.High","X600475.SS.Low","X600475.SS.Close","X600475.SS.Volume","X600475.SS.Adjusted","X600475.SS.Close.1","X600476.SS.Open","X600476.SS.High","X600476.SS.Low","X600476.SS.Close","X600476.SS.Volume","X600476.SS.Adjusted","X600476.SS.Close.1","X600477.SS.Open","X600477.SS.High","X600477.SS.Low","X600477.SS.Close","X600477.SS.Volume","X600477.SS.Adjusted","X600477.SS.Close.1"
"1",2019-04-01,10.45,11.1,10.4,10.93,75162826,10.93,0.173253240202195,115.190002,117.699997,115.190002,116.620003,6055742,116.012077,0.088488465398239,12.16,13.38,12.16,13.38,81650308,13.191749,0.122697985465762,NA,NA,NA,NA,NA,NA,NA,11.77,12.34,11.7,12.34,3099841,12.011108,0.134042537231592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53,9.92,9.53,9.81,19071499,9.099124,0.102571717714245,17.235701,18.700001,17.1429,18.6143,7009109,18.446466,0.240605647895976,28.379999,29.879999,27.799999,29.85,1353430,29.85,0.224387657148536,24.09,25.809999,23.700001,25.459999,16893849,25.14238,0.205316683660833,9.35,10.03,9.21,10.03,20719327,9.945205,0.157503614258805,16,17.18,16,17,33878172,16.838095,0.252044585453336,16.299999,17.790001,16.200001,17.559999,174009685,17.514061,0.482037473162963,6.41,6.64,6.41,6.57,13900236,6.392995,0.115415513449592,NA,NA,NA,NA,NA,NA,NA,9.53,9.85,9.46,9.73,9471026,9.71177,0.243682782143624,7.48,8.1,7.48,7.74,60329814,7.430875,0.225379618382346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,4.84,4.67,4.81,7897464,4.742287,0.0866099897243719,4.66,5.1,4.57,5.1,47584366,5.1,0.206073170241496,NA,NA,NA,NA,NA,NA,NA,16.030001,16.799999,16.02,16.73,9031772,16.73,0.152399704822019,3.91667,4.08333,3.91667,4.04167,41401570,3.839101,0.129898010732022
"2",2019-04-02,11.48,11.8,11.02,11.05,97415132,11.05,0.184232197201281,116.440002,116.440002,114.610001,115.989998,4241304,115.385361,0.08308626179857,13.86,14.12,13.48,13.81,78088514,13.615699,0.154835504150366,NA,NA,NA,NA,NA,NA,NA,12.33,12.39,12.12,12.15,2208600,11.826171,0.118645454573569,28,28.709999,26,26.700001,119712589,26.700001,0.299476897986599,7.8,7.8,7.55,7.6,18530261,7.6,0.253392249503255,9.81,9.98,9.72,9.85,17440742,9.136225,0.106649189681625,18.6429,18.9429,18.2143,18.485701,4642297,18.319027,0.233697034625534,29.85,31.99,29.5,31.799999,2268285,31.799999,0.289714256813528,25.33,25.870001,24.92,25.5,13531522,25.181883,0.206887814908717,10.03,10.03,10.03,10.03,0,9.945205,0.157503614258805,16.99,17.35,16.719999,16.92,30975366,16.758858,0.247338703100394,17.59,18.6,17.299999,17.41,185769306,17.364454,0.473495388394052,6.56,6.61,6.48,6.56,8402325,6.383265,0.113893443434371,NA,NA,NA,NA,NA,NA,NA,9.83,10.13,9.57,9.83,11206191,9.811583,0.253960274435505,7.8,7.94,7.66,7.69,32814183,7.382873,0.218919670061932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81,4.95,4.78,4.93,8552446,4.860597,0.111558014672397,5.1,5.1,4.9,4.95,41244805,4.95,0.176661405535614,NA,NA,NA,NA,NA,NA,NA,16.690001,17.5,16.33,16.9,11195673,16.9,0.162561091552443,4.04167,4.14167,4.00833,4.05833,37809554,3.854926,0.134020069188057
"3",2019-04-03,10.87,11.35,10.87,11.17,61578832,11.17,0.195091925708068,115,117.699997,114.860001,116.300003,4435768,115.693748,0.0857589491452843,13.81,13.9,13.6,13.81,36760802,13.615699,0.154835504150366,NA,NA,NA,NA,NA,NA,NA,12.32,12.68,12.2,12.4,3948887,12.069508,0.139221586260812,27.98,29.370001,27.51,29.370001,134686604,29.370001,0.399476894241281,7.61,7.66,7.4,7.62,13186873,7.62,0.256023828450623,9.8,10.03,9.73,10,17487465,9.275355,0.121877616077564,18.628599,19.5357,18.3571,19.264299,6179110,19.090605,0.275815967523994,32,33.439999,31.08,31.82,2799555,31.82,0.290343219097457,25.360001,25.360001,24.82,25.120001,10888495,24.806623,0.191985893340089,10.03,10.03,10.03,10.03,0,9.945205,0.157503614258805,16.66,17.09,16.610001,16.879999,18827266,16.719236,0.244974577804886,16.99,17.790001,16.84,17.35,109052130,17.304611,0.470049093161427,6.56,6.69,6.51,6.67,7171868,6.490301,0.130661736117298,NA,NA,NA,NA,NA,NA,NA,9.83,9.99,9.64,9.9,8690196,9.881452,0.261081332421263,7.63,7.97,7.6,7.81,38266766,7.49808,0.234524351466354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,5.01,4.84,4.94,5973411,4.870456,0.11358641223832,4.93,5.09,4.91,4.97,26215406,4.97,0.180701809576018,NA,NA,NA,NA,NA,NA,NA,16.65,16.85,16.35,16.690001,6396831,16.690001,0.150135115221082,4.025,4.10833,3.98333,4.08333,30135205,3.878673,0.140180238518791
"4",2019-04-04,11.17,11.26,10.98,11.06,49657831,11.06,0.18524411908318,115.699997,118.800003,115.5,118.480003,4904977,117.862389,0.104503574629086,13.82,13.95,13.31,13.36,45844995,13.172029,0.122250420877375,NA,NA,NA,NA,NA,NA,NA,12.31,12.65,12.2,12.3,2673100,11.972174,0.13115707013178,30.610001,30.68,27.629999,28,113524126,28,0.352830624123687,7.62,7.85,7.53,7.78,13284677,7.78,0.277021203778707,10.03,10.27,9.92,9.95,21366879,9.228977,0.116877616077564,19.25,19.514299,18.907101,19.314301,4734958,19.140156,0.278411546008319,31.82,32.310001,30.799999,31.309999,818530,31.309999,0.274315532108143,25.110001,25.98,24.799999,24.92,13917879,24.609118,0.184024070408633,12.55,12.98,11.78,12.18,48760943,12.077027,0.371860543471168,16.99,17.360001,16.52,16.950001,27993565,16.788572,0.249121615965256,17.700001,17.84,17.16,17.27,92703782,17.224821,0.465438142152781,6.66,6.72,6.63,6.7,8084800,6.519493,0.135159487241736,NA,NA,NA,NA,NA,NA,NA,9.9,10.45,9.88,10.08,10253011,10.061114,0.279263150603081,7.81,7.9,7.69,7.8,37705771,7.488479,0.23324394173524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,5.02,4.9,4.97,6637338,4.900034,0.119659286732247,4.96,5.35,4.94,5.26,47701187,5.26,0.23905191017964,11,11.01,10.82,10.92,3082626,10.706064,0.109675080918087,16.73,17.25,16.360001,17.09,8689707,17.09,0.174101500843228,4.13333,4.21667,4.04167,4.16667,50103430,3.957836,0.16059005109823
"5",2019-04-08,11.11,11.15,10.58,10.83,50957965,10.83,0.164448459047013,119,120.739998,116.720001,117.400002,5987728,116.788017,0.0953881038943324,13.45,13.8,13.05,13.3,39549601,13.112874,0.117759402913303,3.97,4.02,3.83,3.9,24049332,3.842137,0.150560754430808,12.35,12.68,12.26,12.48,3175000,12.147376,0.145791216473243,27.9,30.799999,27.51,30.15,101024682,30.15,0.429616338409401,7.75,7.77,7.4,7.45,12782268,7.45,0.234604751336548,9.96,10.49,9.93,10.49,28759114,9.729847,0.171148972861484,19.3214,19.9643,18.8286,19.15,4939531,18.977335,0.269904844160812,31.309999,31.91,29.709999,30.33,889352,30.33,0.243015658863177,24.700001,25.25,24.32,24.860001,12059627,24.549868,0.181616405882149,12.23,13.4,11.8,12.63,56685344,12.523223,0.40880635627905,17.049999,17.75,16.969999,17.530001,37021693,17.363049,0.283339903032023,17.18,17.190001,16.4,16.65,99252278,16.606441,0.429537736825624,6.69,6.73,6.53,6.69,7548807,6.509762,0.133666949928303,NA,NA,NA,NA,NA,NA,NA,10.09,10.14,9.57,9.73,8414557,9.71177,0.244540928380859,7.88,7.95,7.56,7.7,34287608,7.392473,0.220423428914727,3.08,3.16,3.05,3.12,39084665,3.104578,0.0860727523497926,4.47857,4.48571,4.32857,4.37857,10782192,4.37857,0.0711440222440364,5.03,5.11,4.92,4.97,7119133,4.900034,0.119659286732247,5.26,5.26,5.26,5.26,0,5.26,0.23905191017964,10.97,11.44,10.97,11.35,7923079,11.127641,0.149052370295377,17.1,17.110001,16.190001,16.290001,6377813,16.290001,0.127290558771841,4.16667,4.3,4.06667,4.3,68792552,4.084484,0.192589225498891
"6",2019-04-09,10.83,10.95,10.65,10.82,29309252,10.82,0.163525098012849,117.5,120.690002,116.110001,120.379997,5517790,119.752472,0.120771365812846,13.02,13.3,12.95,13.03,29719371,12.846673,0.0974586510336036,3.89,3.97,3.83,3.95,18865627,3.891395,0.163381267251321,12.64,12.64,12.01,12.18,3479820,11.855372,0.121752754934782,28.6,30.299999,28.299999,28.690001,66523793,28.690001,0.381191827629965,7.4,8.17,7.39,7.84,22837234,7.84,0.286953744625138,10.4,10.4,10.11,10.25,17954591,9.507238,0.148270040544992,19,19.842899,18.8929,19.1786,4561965,19.005678,0.271398316745669,30.34,30.67,29.48,30.67,427941,30.67,0.254225681942636,24.860001,24.860001,24.07,24.4,9207611,24.095604,0.16311274612767,12.62,12.92,12.03,12.2,31949221,12.096858,0.374760433872083,17.290001,17.4,16.66,16.959999,22817485,16.798475,0.250824103403717,16.620001,17.049999,16.35,16.709999,74559162,16.666285,0.433141280369168,6.69,6.72,6.59,6.68,3784784,6.500031,0.132172181617391,2.38,2.42,2.34,2.4,16724745,2.4,0.0487574885719425,9.71,9.71,9.41,9.57,5545857,9.55207,0.228096940713849,NA,NA,NA,NA,NA,NA,NA,3.11,3.21,3.06,3.1,38967874,3.084677,0.0796624959395362,4.42857,4.50714,4.35,4.49286,10582628,4.49286,0.0972461514780102,4.98,5.05,4.85,5.05,5790267,4.978908,0.135755866209108,5.64,5.65,5.32,5.43,60947574,5.43,0.271371301814621,11.5,11.5,11.09,11.21,4555201,10.990383,0.136717568533262,16.18,17.65,16.18,16.889999,9656926,16.889999,0.164122846259117,4.33333,4.33333,4.19167,4.21667,41654130,4.00533,0.173210155731449
"7",2019-04-10,10.74,10.74,10.48,10.63,28708194,10.63,0.145965024075696,119.849998,124.050003,118.879997,122.5,6522655,121.861427,0.138382289993214,13.1,13.45,12.97,13.23,33574430,13.043859,0.11280784520091,3.89,4,3.87,3.96,21177031,3.901246,0.165912912820941,12.11,12.49,11.88,12.39,3456248,12.059775,0.138994134245127,27.190001,29.98,27.030001,29.01,63283247,29.01,0.392345504480656,7.82,8.02,7.52,7.71,18526960,7.71,0.270372111972077,10.16,10.31,10.12,10.14,12929540,9.40521,0.137538333227919,19.1786,19.378599,18.6714,19.0786,4187846,18.90658,0.266184171813296,30.67,30.780001,29.879999,30.27,356500,30.27,0.241183621297054,24.5,24.77,24.309999,24.51,7025506,24.204231,0.167620942848982,12,12.54,11.95,12.12,24190944,12.017535,0.368203056822902,16.780001,16.950001,16.450001,16.68,16752175,16.521143,0.234314727430287,16.459999,16.950001,16.01,16.620001,89083541,16.576521,0.427755403326326,6.66,6.71,6.62,6.68,4136824,6.500031,0.132172181617391,2.39,2.45,2.35,2.43,17338222,2.43,0.0612574885719427,9.47,9.55,9.36,9.41,4272218,9.392369,0.211378027443212,NA,NA,NA,NA,NA,NA,NA,3.09,3.1,3.03,3.08,25331597,3.064776,0.0732108830363104,4.48571,4.50714,4.40714,4.50714,9815621,4.50714,0.100424527835163,5.02,5.11,4.97,5.07,5409438,4.998626,0.139716262248712,5.38,5.84,5.18,5.58,49581871,5.58,0.298995611206886,11.13,11.18,10.9,11.01,4297237,10.794302,0.118876355330765,16.5,16.700001,16.25,16.360001,6140522,16.360001,0.132743448308886,4.2,4.2,4.09167,4.11667,35669462,3.910342,0.149494759459035
"8",2019-04-11,10.74,10.87,10.5,10.63,30023840,10.63,0.145965024075696,122.5,122.5,116.580002,116.599998,6992377,115.99218,0.0902190083605614,13.4,13.47,12.1,12.7,62316888,12.521316,0.0727473765690126,3.95,3.97,3.82,3.85,16127463,3.792878,0.138135135043164,12.21,13.61,12.21,12.6,6356908,12.264178,0.1559432867875,28.9,31.799999,28.549999,30.030001,75682945,30.030001,0.427505828506854,7.63,7.71,7.46,7.48,12154310,7.48,0.240540724164036,10.14,10.15,9.81,9.85,12389395,9.136225,0.108938727705236,19.3071,19.757099,18.778601,19.5,5547609,19.324181,0.288271746373274,30.27,30.85,29.91,30.030001,765186,30.030001,0.233255012113043,24.57,24.75,23.32,23.43,9729466,23.137705,0.123557295358161,12.23,12.34,11.55,11.73,23796188,11.630832,0.33602483900112,16.73,17.120001,16.450001,16.48,15351139,16.323048,0.222324319756426,16.700001,16.700001,15.72,15.75,79408557,15.708797,0.375408775910359,6.66,6.68,6.53,6.61,4415808,6.431918,0.121693139701224,2.43,2.54,2.43,2.44,27798959,2.44,0.0653727149093911,9.46,9.62,9.36,9.5,4320656,9.482202,0.220942320748207,NA,NA,NA,NA,NA,NA,NA,3.07,3.13,3.06,3.07,24449766,3.054825,0.0699641297895571,4.63571,4.77857,4.55,4.57857,27706319,4.57857,0.116272715377596,5.07,5.14,5,5.04,4946582,4.969049,0.133799102485398,5.4,5.54,5.23,5.24,29660915,5.24,0.238063711565309,11,11.09,10.81,10.83,2813131,10.617827,0.102527581488803,16.379999,16.52,15.75,15.94,5872267,15.94,0.107071017115269,4.14167,4.20833,4.04167,4.05833,28407669,3.854926,0.135323111015025
"9",2019-04-12,10.52,10.67,10.36,10.53,22121150,10.53,0.136557686352271,116.589996,118.690002,116.120003,118.529999,3891282,117.912117,0.106771332829727,12.56,12.9,12.42,12.56,33052204,12.383286,0.0617237545217686,3.83,4,3.83,3.96,26705908,3.901246,0.166706563614592,12.6,12.6,12.6,12.6,0,12.264178,0.1559432867875,29.77,32.32,29.49,30.790001,89045928,30.790001,0.452813852972121,7.43,7.66,7.42,7.6,7315550,7.6,0.256583504912699,NA,NA,NA,NA,NA,NA,NA,19.5786,19.6071,19.0429,19.2071,3815467,19.03392,0.273251233552761,29.43,30.42,29.129999,29.98,667060,29.98,0.231589977203454,23.700001,23.84,22.57,23.110001,7910424,22.821697,0.109899634239937,11.88,11.94,11.27,11.41,16452272,11.313538,0.308744361592765,16.690001,17.66,16.549999,17.16,32935626,16.996571,0.263586455678756,15.7,16.09,15.7,15.89,43400261,15.848431,0.384297664799248,6.6,6.61,6.52,6.53,3270141,6.354073,0.109590265268546,2.44,2.54,2.43,2.54,28901194,2.54,0.106356321466768,9.45,9.55,9.39,9.47,2752641,9.452258,0.217784426011365,NA,NA,NA,NA,NA,NA,NA,3.09,3.24,3.08,3.17,62921924,3.154331,0.102537419691837,4.58571,4.66429,4.51429,4.55714,12665997,4.55714,0.111592214697253,5.06,5.11,4.97,5.04,4373235,4.969049,0.133799102485398,5.21,5.32,5.12,5.16,16768180,5.16,0.22279653599279,10.83,10.96,10.75,10.85,1695553,10.637436,0.104374303557131,15.99,17.280001,15.99,16.959999,10108141,16.959999,0.171060916738858,4.03333,4.09167,4,4.05,18625998,3.847014,0.133270542594025
"10",2019-04-15,10.69,10.82,10.53,10.53,25856306,10.53,0.136557686352271,119,121.010002,116.099998,116.110001,5920956,115.504738,0.0863545774056419,12.46,13.12,12.46,12.6,35263604,12.422723,0.0649084678975647,4.04,4.08,3.83,3.84,39307113,3.783027,0.136403533311562,14,15.25,13,14.39,15554370,14.00647,0.298006778850992,31.799999,32.060001,28.549999,28.91,65374293,28.91,0.391755037157208,7.55,7.63,7.52,7.52,6028274,7.52,0.246057189123225,NA,NA,NA,NA,NA,NA,NA,19.2143,19.6143,19.0714,19.2714,3983912,19.097641,0.276598953926998,30.18,30.360001,29.65,29.719999,452645,29.719999,0.222917495549018,23.49,24.190001,23.110001,23.190001,7266113,22.9007,0.113361338979802,11.73,12.05,11.2,11.34,17348984,11.244129,0.302609392267612,17.67,18.879999,17.25,18.24,55234708,18.066286,0.326523518615819,16.15,16.639999,15.89,15.98,63266168,15.938194,0.389961604383893,6.63,6.68,6.44,6.45,3866996,6.276228,0.0973391167233697,2.53,2.62,2.48,2.48,25303800,2.48,0.0827342742226735,9.45,9.65,9.3,9.38,3556531,9.362426,0.208280730129633,NA,NA,NA,NA,NA,NA,NA,3.19,3.21,3.11,3.13,40000020,3.114529,0.0899191231618688,4.63571,4.65,4.47857,4.47857,12023727,4.47857,0.0943511380570793,5.05,5.24,5.03,5.06,10876155,4.988767,0.137767356453652,5.16,5.27,5.01,5.03,19365727,5.03,0.197602737543177,10.96,11.09,10.65,10.68,2230752,10.470767,0.0887061007921545,16.780001,17.799999,16.67,17.33,13085219,17.33,0.192877014723297,4.1,4.15,4.01667,4.03333,22558292,3.831179,0.129154493211309
