"","600478.SS.Open","600478.SS.High","600478.SS.Low","600478.SS.Close","600478.SS.Volume","600478.SS.Adjusted","600479.SS.Open","600479.SS.High","600479.SS.Low","600479.SS.Close","600479.SS.Volume","600479.SS.Adjusted","600480.SS.Open","600480.SS.High","600480.SS.Low","600480.SS.Close","600480.SS.Volume","600480.SS.Adjusted","600481.SS.Open","600481.SS.High","600481.SS.Low","600481.SS.Close","600481.SS.Volume","600481.SS.Adjusted","600482.SS.Open","600482.SS.High","600482.SS.Low","600482.SS.Close","600482.SS.Volume","600482.SS.Adjusted","600483.SS.Open","600483.SS.High","600483.SS.Low","600483.SS.Close","600483.SS.Volume","600483.SS.Adjusted","600485.SS.Open","600485.SS.High","600485.SS.Low","600485.SS.Close","600485.SS.Volume","600485.SS.Adjusted","600486.SS.Open","600486.SS.High","600486.SS.Low","600486.SS.Close","600486.SS.Volume","600486.SS.Adjusted","600487.SS.Open","600487.SS.High","600487.SS.Low","600487.SS.Close","600487.SS.Volume","600487.SS.Adjusted","600488.SS.Open","600488.SS.High","600488.SS.Low","600488.SS.Close","600488.SS.Volume","600488.SS.Adjusted","600489.SS.Open","600489.SS.High","600489.SS.Low","600489.SS.Close","600489.SS.Volume","600489.SS.Adjusted","600490.SS.Open","600490.SS.High","600490.SS.Low","600490.SS.Close","600490.SS.Volume","600490.SS.Adjusted","600491.SS.Open","600491.SS.High","600491.SS.Low","600491.SS.Close","600491.SS.Volume","600491.SS.Adjusted","600493.SS.Open","600493.SS.High","600493.SS.Low","600493.SS.Close","600493.SS.Volume","600493.SS.Adjusted","600495.SS.Open","600495.SS.High","600495.SS.Low","600495.SS.Close","600495.SS.Volume","600495.SS.Adjusted","600496.SS.Open","600496.SS.High","600496.SS.Low","600496.SS.Close","600496.SS.Volume","600496.SS.Adjusted","600497.SS.Open","600497.SS.High","600497.SS.Low","600497.SS.Close","600497.SS.Volume","600497.SS.Adjusted","600498.SS.Open","600498.SS.High","600498.SS.Low","600498.SS.Close","600498.SS.Volume","600498.SS.Adjusted","600499.SS.Open","600499.SS.High","600499.SS.Low","600499.SS.Close","600499.SS.Volume","600499.SS.Adjusted","600500.SS.Open","600500.SS.High","600500.SS.Low","600500.SS.Close","600500.SS.Volume","600500.SS.Adjusted","600501.SS.Open","600501.SS.High","600501.SS.Low","600501.SS.Close","600501.SS.Volume","600501.SS.Adjusted","600502.SS.Open","600502.SS.High","600502.SS.Low","600502.SS.Close","600502.SS.Volume","600502.SS.Adjusted","600503.SS.Open","600503.SS.High","600503.SS.Low","600503.SS.Close","600503.SS.Volume","600503.SS.Adjusted","600505.SS.Open","600505.SS.High","600505.SS.Low","600505.SS.Close","600505.SS.Volume","600505.SS.Adjusted","600506.SS.Open","600506.SS.High","600506.SS.Low","600506.SS.Close","600506.SS.Volume","600506.SS.Adjusted"
"2020-03-02",4.34,4.68,4.29,4.55,30314750,4.55,8.92,9.09,8.88,9.04,13107794,8.57641,10.2,10.92,10.01,10.84,21074046,10.84,3.08,3.18,3.08,3.16,5710296,3.16,16.870001,17.559999,16.870001,17.26,6254616,17.26,8.6,8.74,8.51,8.66,14267309,8.370562,1.45,1.57,1.44,1.47,108447185,1.47,70.099998,75,70.099998,72.510002,6095441,72.510002,16.82,18,16.459999,17.790001,84046764,17.790001,4.96,5.25,4.93,5.2,27497148,5.153778,8,8.24,7.96,8.23,44937138,8.23,3.92,4.07,3.92,4.04,17337449,4.04,7.55,8.1,7.53,8.02,34869071,8.02,5.3,5.52,5.17,5.43,11119146,5.43,3.76,3.96,3.76,3.92,27020848,3.92,3.67,3.91,3.62,3.91,96122743,3.91,3.65,3.79,3.65,3.75,35869794,3.624302,31.309999,32.98,30.549999,32.98,69531349,32.98,5.07,5.34,5.07,5.28,17936956,5.28,5.96,6.22,5.86,6.19,47510077,6.19,8.45,8.75,8.45,8.67,6337427,8.67,4.01,4.25,3.93,4.25,51732303,4.25,3.32,3.5,3.31,3.43,48982478,3.43,8.89,9.23,8.86,9.05,2766949,9.05,8.52,8.9,8.52,8.83,2236511,8.83
"2020-03-03",4.59,4.72,4.51,4.53,31176796,4.53,9.09,9.17,9.02,9.06,10591225,8.595385,11.25,11.63,10.55,10.7,23714009,10.7,3.19,3.23,3.15,3.16,6751104,3.16,17.6,17.799999,17.309999,17.43,6695769,17.43,8.61,8.68,8.53,8.56,11856661,8.273904,1.49,1.54,1.47,1.54,48043863,1.54,73.07,74.330002,72.110001,73.419998,5585591,73.419998,18.26,18.690001,17.4,17.610001,98440876,17.610001,5.18,5.2,5.06,5.1,24383927,5.054667,8.22,8.39,8.19,8.26,47533869,8.26,4.11,4.15,4.04,4.07,17353356,4.07,8.25,8.3,7.89,7.97,27491632,7.97,5.41,5.84,5.35,5.78,16628353,5.78,3.98,4.01,3.86,3.91,22613033,3.91,4.23,4.24,3.9,4.1,146442817,4.1,3.81,3.84,3.74,3.77,38166660,3.643631,34.98,36.200001,32.610001,33,107553595,33,5.38,5.5,5.27,5.33,23688325,5.33,6.28,6.28,6.06,6.14,35138251,6.14,8.86,9.12,8.78,8.89,11145980,8.89,4.6,4.6,4.23,4.28,97719293,4.28,3.48,3.54,3.42,3.45,45485789,3.45,9.2,9.23,9,9.03,2828300,9.03,8.97,9.11,8.86,8.97,2021100,8.97
"2020-03-04",4.51,4.6,4.44,4.55,23147712,4.55,9,9.06,8.95,9.05,7752153,8.585897,10.71,10.94,10.3,10.51,12186496,10.51,3.15,3.28,3.13,3.22,6147702,3.22,17.4,17.59,17.059999,17.43,4735343,17.43,8.56,8.6,8.44,8.55,8350356,8.264238,1.62,1.62,1.62,1.62,5888641,1.62,73.330002,74.860001,72.230003,74.599998,5071458,74.599998,17.209999,17.629999,16.959999,17.49,54012107,17.49,5.06,5.07,4.9,4.98,19262871,4.935733,8.47,8.58,8.39,8.45,62428159,8.45,4.13,4.15,4.07,4.14,19546530,4.14,7.88,8.14,7.83,8.08,19629599,8.08,5.68,5.93,5.51,5.61,12148856,5.61,3.86,4.05,3.86,4.05,28594570,4.05,4.01,4.25,3.95,4.21,113181838,4.21,3.74,3.82,3.73,3.81,33744168,3.68229,32.549999,33.580002,31.6,33.299999,65366425,33.299999,5.35,5.36,5.13,5.28,15982091,5.28,6.14,6.18,6.06,6.14,18118204,6.14,8.88,9.56,8.83,9.35,19623274,9.35,4.18,4.49,4.11,4.48,64341649,4.48,3.41,3.59,3.4,3.58,56069542,3.58,9.03,9.15,8.85,9.15,3151603,9.15,8.99,9.08,8.84,8.96,1989956,8.96
"2020-03-05",4.61,4.71,4.54,4.68,33393046,4.68,9.08,9.17,9.06,9.15,11230425,8.680769,10.84,10.86,10.44,10.75,12389270,10.75,3.25,3.37,3.23,3.3,13103300,3.3,17.610001,17.860001,17.5,17.83,7073363,17.83,8.56,8.66,8.48,8.62,11040893,8.331898,1.7,1.7,1.7,1.7,5217805,1.7,75,75.75,73.449997,73.730003,4481820,73.730003,18.200001,18.629999,17.700001,18.459999,111447489,18.459999,4.98,5.05,4.94,4.99,13290219,4.945644,8.38,8.5,8.37,8.49,43528564,8.49,4.15,4.24,4.12,4.24,26462796,4.24,8.16,8.2,7.95,8.04,20883789,8.04,5.63,5.71,5.54,5.65,9302458,5.65,4.15,4.25,4.07,4.15,43841929,4.15,4.28,4.34,4.1,4.14,84531711,4.14,3.84,4.05,3.81,3.95,88379647,3.817598,35.5,35.849998,32.900002,33.009998,76373951,33.009998,5.33,5.38,5.27,5.29,17726331,5.29,6.22,6.64,6.16,6.56,62620627,6.56,9.4,9.65,9.22,9.34,17407170,9.34,4.49,4.74,4.38,4.5,76916330,4.5,3.6,3.65,3.55,3.59,51343130,3.59,9.26,9.53,9.25,9.33,4676372,9.33,9.07,9.26,9.02,9.23,4286329,9.23
"2020-03-06",4.6,4.74,4.59,4.65,20850844,4.65,9.1,9.25,9.07,9.19,9520241,8.718718,10.45,10.69,10.3,10.48,11406659,10.48,3.28,3.38,3.25,3.35,15136739,3.35,17.68,17.809999,17.530001,17.700001,4132205,17.700001,8.7,8.97,8.66,8.81,17111576,8.515549,1.79,1.79,1.63,1.79,187395801,1.79,75.830002,76.860001,73.25,74.879997,5608133,74.879997,18.09,18.360001,18.01,18.02,63379009,18.02,4.98,5.09,4.94,5.03,14564468,4.985289,8.63,8.69,8.57,8.59,57118257,8.59,4.23,4.27,4.18,4.2,21898434,4.2,7.95,8.18,7.94,8.01,14077300,8.01,5.56,6.22,5.52,6.22,28398669,6.22,4.11,4.36,4.09,4.22,42946905,4.22,4,4.08,3.91,3.96,61176347,3.96,3.89,3.92,3.84,3.87,57971509,3.740279,32.009998,34.66,31.700001,33.650002,51696589,33.650002,5.21,5.27,5.15,5.21,15151506,5.21,6.49,6.63,6.35,6.38,40524828,6.38,9.28,9.47,9.22,9.31,8781767,9.31,4.4,4.48,4.31,4.32,45385802,4.32,3.55,3.64,3.51,3.59,39173121,3.59,9.42,9.69,9.22,9.63,6083014,9.63,9.15,9.33,9.1,9.27,3599884,9.27
"2020-03-09",4.62,4.65,4.4,4.41,26091104,4.41,9.27,9.28,9.09,9.17,13321883,8.699743,10.2,10.4,9.93,9.95,13267978,9.95,3.37,3.38,3.21,3.21,12546859,3.21,17.459999,17.530001,17.09,17.1,6099581,17.1,8.84,8.98,8.59,8.78,14541511,8.48655,1.71,1.86,1.71,1.8,137377512,1.8,73.900002,73.940002,71.949997,72.489998,4132601,72.489998,17.629999,18.530001,17.51,17.780001,82222594,17.780001,4.97,5.19,4.93,5.1,20920761,5.054667,8.78,8.78,8.2,8.23,79085628,8.23,4.19,4.2,4.01,4.03,22503223,4.03,7.9,8.05,7.72,7.76,16068200,7.76,6.26,6.78,6.2,6.39,38519324,6.39,4.15,4.64,4.12,4.64,128618528,4.64,3.8,3.84,3.65,3.66,64954085,3.66,3.8,3.8,3.72,3.74,42486900,3.614637,33.5,36.299999,33.029999,34.5,82189845,34.5,5.14,5.17,4.96,4.97,18266200,4.97,6.32,6.43,6.1,6.13,44815539,6.13,9.2,9.22,8.64,8.71,11853239,8.71,4.2,4.3,4.07,4.1,36050359,4.1,3.52,3.57,3.37,3.39,46093548,3.39,9.5,10.5,9.38,9.4,8336672,9.4,9.11,9.4,8.91,8.94,4679514,8.94
"2020-03-10",4.35,4.51,4.23,4.5,25223018,4.5,8.94,9.13,8.86,9.11,11589899,8.64282,9.59,10.87,9.27,10.59,21877001,10.59,3.19,3.26,3.14,3.26,8797267,3.26,16.809999,17.27,16.6,17.25,6216797,17.25,8.69,8.78,8.45,8.68,9748890,8.389894,1.75,1.79,1.71,1.72,97690280,1.72,72,73.599998,70.080002,73.309998,4234360,73.309998,17.65,19.559999,17.450001,19.559999,143556854,19.559999,5,5,4.6,4.9,19862420,4.856444,8.02,8.22,7.91,8.2,53057949,8.2,3.99,4.08,3.89,4.07,23668458,4.07,7.6,7.84,7.51,7.78,16854902,7.78,6.02,6.13,5.75,6.03,23238650,6.03,4.63,5.05,4.38,4.92,152741691,4.92,3.56,3.88,3.56,3.84,56428781,3.84,3.68,3.79,3.67,3.79,43793451,3.662961,34.509998,37.950001,32.02,37.709999,112262785,37.709999,4.86,5.16,4.85,5.13,16962929,5.13,6.13,6.32,5.87,6.29,51023524,6.29,8.63,8.98,8.42,8.93,9668603,8.93,4.02,4.23,4.02,4.22,31800633,4.22,3.32,3.45,3.28,3.44,37897189,3.44,9.06,9.76,9.05,9.65,6457105,9.65,8.88,9.07,8.43,9.05,4474101,9.05
"2020-03-11",4.55,4.63,4.43,4.44,25115390,4.44,9.15,9.15,8.99,8.99,8172484,8.528975,10.92,11.28,10.42,10.61,21641751,10.61,3.26,3.32,3.23,3.24,8373302,3.24,17.389999,17.780001,17.280001,17.299999,6486468,17.299999,8.71,8.72,8.45,8.45,9700230,8.16758,1.72,1.79,1.71,1.74,67249955,1.74,73.599998,73.599998,71,71,3387087,71,20.83,21.52,20.209999,20.35,283417915,20.35,4.9,4.92,4.76,4.77,11219161,4.7276,8.16,8.29,8.13,8.26,36388004,8.26,4.07,4.1,4.01,4.02,14737100,4.02,7.78,7.83,7.67,7.68,11481504,7.68,5.87,6.1,5.76,5.92,15950630,5.92,4.7,4.98,4.46,4.5,107208873,4.5,3.85,3.88,3.73,3.74,41017817,3.74,3.8,3.81,3.73,3.74,42554364,3.614637,38.200001,40.880001,37.619999,37.900002,130504328,37.900002,5.13,5.28,5.08,5.09,17359134,5.09,6.26,6.3,6.05,6.05,32083196,6.05,8.96,9.55,8.9,9.15,15157990,9.15,4.2,4.22,4.08,4.08,22421760,4.08,3.47,3.49,3.38,3.39,26538674,3.39,9.7,10,9.67,9.79,5876705,9.79,9.08,9.47,9.03,9.13,5321354,9.13
"2020-03-12",4.37,4.42,4.28,4.35,17666500,4.35,8.9,8.95,8.78,8.82,8034281,8.367692,10.5,11,9.91,10.13,17160194,10.13,3.2,3.24,3.16,3.17,6211521,3.17,17.1,17.1,16.790001,16.9,4762026,16.9,8.4,8.6,8.35,8.44,7468028,8.157914,1.68,1.7,1.65,1.65,65287725,1.65,69.610001,70,66.989998,67.089996,4457798,67.089996,20.799999,21.610001,20.299999,21.610001,234772479,21.610001,4.71,4.74,4.61,4.64,8656094,4.598755,8.09,8.12,7.91,7.98,41128401,7.98,3.97,3.97,3.89,3.91,17121907,3.91,7.58,7.64,7.37,7.48,13158400,7.48,5.85,5.99,5.58,5.61,12520766,5.61,4.35,4.72,4.31,4.56,58594913,4.56,3.7,3.78,3.65,3.69,28598417,3.69,3.68,3.72,3.65,3.67,32454830,3.546983,36.720001,41.599998,36.610001,41.349998,119794917,41.349998,5.06,5.08,4.85,4.94,14808474,4.94,5.93,6.05,5.83,5.91,28845915,5.91,9.05,9.11,8.71,8.84,9563082,8.84,4.06,4.12,4.02,4.06,16390294,4.06,3.34,3.39,3.31,3.35,22447247,3.35,9.75,10.19,9.48,10.19,6374561,10.19,8.98,9.12,8.71,8.83,3761564,8.83
"2020-03-13",4.07,4.34,4.03,4.24,23536417,4.24,8.5,8.72,8.41,8.69,8324009,8.244359,9.5,10.21,9.44,10.21,12283166,10.21,3,3.15,2.98,3.11,8332000,3.11,16.280001,16.85,16,16.690001,5072676,16.690001,8.16,8.5,8.08,8.43,8964868,8.148249,1.57,1.65,1.57,1.59,65447294,1.59,63.900002,66.5,62.009998,65.830002,4808235,65.830002,20.73,22.15,20.219999,20.98,226399962,20.98,4.41,4.55,4.33,4.51,10476232,4.469911,7.45,7.76,7.35,7.73,51555492,7.73,3.64,3.86,3.64,3.83,18374183,3.83,7.2,7.3,6.95,7.16,20012276,7.16,5.15,5.45,5.15,5.32,10961054,5.32,4.27,4.8,4.27,4.7,75007572,4.7,3.5,3.76,3.5,3.75,36728661,3.75,3.51,3.64,3.48,3.61,38814282,3.488994,39.279999,41.950001,39.259998,39.459999,129601040,39.459999,4.7,4.9,4.63,4.82,16390172,4.82,5.66,5.91,5.6,5.81,26314337,5.81,8.25,8.84,8.2,8.68,10071005,8.68,3.88,4.05,3.82,3.99,21529975,3.99,3.2,3.32,3.15,3.3,28272724,3.3,9.68,10.18,9.68,10.08,5932403,10.08,8.36,9.71,8.35,9.58,14547008,9.58
